statistical_sector,ID,n_trees,n_benches,n_trashcans,area_in_ha,total_number_of_inhabitants,population_density_per_km2,men,women,population_0_17_year_olds,population_20_39_year_olds,population_40_59_year_olds,population_60_79_year_olds,population_80_year_olds,births,deaths,natural_growth_b_d,total_growth,elderly_dependency_ratio,youth_dependency_ratio,caregiving_ratio,dependency_coefficient,family_care_index,non_belgian_current_nationality_w_r_t_to_residents,non_belgian_origin_w_r_t_to_inhabitants,private_households,households_without_lipro_children,multi_person_households_with_at_least_1_minor_lipro_child,multi_person_households_with_only_minor_lipro_child_ren,household_1_person,household_2_persons,household_3_persons,household_4_persons,household_5_persons,living_alone_w_r_t_to_private_households,household_without_lipro_children_w_r_t_private_households,multi_person_households_with_at_least_1_minor_lipro_child_w_r_t_private_households,single_parent_household_with_min_1_minor_lipro_child_vs_household_with_min_1_minor_lipro_child,nwwz_unemployed_jobseekers_w_r_t_inhabitants_18_64_yo,nwwz_unemployed_jobseekers,nwwz_short_term_unemployed_jobseekers,nwwz_long_term_unemployed_jobseekers,nwwz_very_long_term_unemployed_jobseekers,commercial_properties,commercial_properties_per_1000_inhabitants,stores_food_products,stores_personal_care,stores_clothing_and_fashion,stores_household_goods,stores_leisure,stores_in_and_around_the_house,stores_brown_and_white_goods,stores_car_and_bicycle,stores_do_it_yourself,stores_others,bars_and_restaurants,consumer_oriented_services_culture,consumer_oriented_services_transportation_and_fuels,consumer_oriented_services_recreation,consumer_oriented_services_others,commercial_properties_vacant_incl_renovation_until_2019,vacant_commercial_properties_w_r_t_commercial_properties_percent,stores_daily_goods_w_r_t_to_stores,commercial_properties_other_retail_w_r_t_to_retail,stores_periodic_goods_w_r_t_stores,stores_periodic_goods_vs_stores,residential_units_in_apartments,residential_units_in_collective_housing,residential_units_in_individual_housing,renters_w_r_t_households_with_known_title_of_ownership,social_rental_housing_social_housing_company_social_rental_office,persons_with_an_increased_allowance,persons_with_an_increased_allowance_w_r_t_persons_on_health_insurance,average_net_taxable_income_per_resident,preschool_students,elementary_school_students,secondary_school_students,indicator_pupils_primary_education_percent,indicator_pupils_secondary_education_percent,education_deprivation_indicator_value_primary_education_ratio,education_deprivation_indicator_value_secondary_education_ratio
Boven Lo,24062C39-,98,5,3,101.56,670,660,322,348,172,115,186,164,33,7,NA,3,11,42.3,49.1,10.6,91.4,39.3,0.042,0.118,260,144,74,42,56,96,38,45,25,0.215,0.554,0.285,0.122,0.011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,0.07,0,22,0.036,27578,30,53,58,0.123,0.175,0.2,0.26
Brabançonnestraat,24062A33-,50,0,6,8.27,705,8521,378,327,64,376,115,78,72,9,19,-10,23,24.2,12.4,2.7,36.6,144,0.35,0.447,413,372,28,13,269,92,31,13,8,0.651,0.901,0.068,0.179,0.047,25,0.56,0.24,0.2,4,5.67,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.25,NA,NA,NA,NA,567,NA,429,0.763,5,174,0.259,19386,14,7,18,0.55,0.833,1.3,1.39
Bruine Veld,24062C52-,129,3,5,45.04,354,786,174,180,88,81,79,70,36,NA,NA,1,-1,50.3,49.7,4.1,100,94.7,0.071,0.192,148,90,43,15,45,52,14,23,14,0.304,0.608,0.291,0.116,0.016,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,137,0.23,0,15,0.043,25049,14,30,26,0.209,NA,0.56,0.19
Bruul,24062A51-,299,67,33,16.39,1998,12188,990,1008,322,829,424,326,97,37,15,22,-14,25.2,24,7.7,49.2,50.5,0.266,0.505,1192,994,148,50,749,269,79,44,51,0.628,0.834,0.124,0.331,0.059,91,0.659,0.11,0.231,29,14.51,7,2,0,0,0,0,0,1,1,0,7,0,0,0,5,6,0.207,0.818,NA,NA,0.182,1230,NA,529,0.747,237,581,0.279,18823,73,83,94,0.722,0.681,2.46,2.3
Campus Heverlee,24062D410,3705,60,36,167.18,579,346,325,254,12,540,16,7,NA,NA,NA,-1,154,1.6,2.2,5.8,3.8,NA,0.907,0.929,561,559,NA,NA,546,14,NA,NA,NA,0.973,0.996,NA,NA,0.007,3,NA,NA,NA,7,12.09,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,NA,0.5,NA,0.5,NA,645,240,7,0.975,0,68,0.37,3375,NA,NA,NA,NA,NA,NA,NA
Centrale Gevangenis,24062A34-,133,10,16,4.62,80,1732,80,NA,NA,13,52,15,NA,NA,NA,0,-13,9.6,NA,NA,NA,NA,0.138,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196,20,0.2,0.15,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,269,NA,NA,NA,NA,NA,NA,NA
Centrale Werkplaatsen,24062C01-,58,27,4,8.58,648,7548,295,353,197,171,189,74,17,10,5,5,3,19,52,15.5,71,36.2,0.144,0.508,269,152,97,20,104,61,33,45,26,0.387,0.565,0.361,0.155,0.031,12,0.5,0.25,0.25,5,7.72,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,NA,0.333,NA,NA,0.667,263,NA,13,0.25,30,28,0.075,20598,44,78,46,0.441,0.558,0.92,1.02
Damiaanplein,24062A03-,174,3,9,13.67,694,5075,373,321,38,396,88,76,96,5,20,-15,112,30.4,7.6,1.7,38,300,0.537,0.589,462,433,19,10,371,62,14,11,NA,0.803,0.937,0.041,NA,0.013,6,0.5,NA,NA,18,25.94,3,0,0,1,1,0,0,0,0,1,5,0,0,0,5,2,0.111,0.5,0.167,0.333,NA,370,54,98,0.916,0,97,0.169,20059,9,13,8,0.238,NA,0.81,0.88
De Jacht,24062D310,25,1,3,61.15,925,1513,406,519,150,155,218,229,173,NA,25,-21,-40,76.5,34.2,2.6,110.7,157.3,0.082,0.151,325,214,65,46,104,124,36,37,24,0.32,0.658,0.2,0.138,0.015,7,NA,0.429,NA,5,5.41,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,NA,NA,NA,NA,NA,188,NA,224,0.265,0,205,0.226,26228,14,62,67,0.133,0.154,0.41,0.25
De Mol,24062E732,110,0,5,57.73,1078,1867,539,539,279,234,282,238,45,9,NA,5,25,38,48.2,11.6,86.2,31.7,0.112,0.361,415,239,111,65,110,141,54,60,50,0.265,0.576,0.267,0.09,0.04,25,0.64,0.16,0.2,17,15.77,1,1,2,0,0,6,1,0,1,1,0,0,2,0,1,1,0.059,0.154,0.077,0.154,0.615,90,NA,343,0.375,80,245,0.236,20952,32,88,94,0.478,0.663,1.23,1.45
